state,county,city,date order started (MM/DD/YY)
UT,Davis County,,04/01/20
UT,Salt Lake County,,03/30/20
UT,Summit County,,03/27/20
OK,,Claremore,04/06/20
OK,,Edmond,03/30/20
OK,,Moore,04/04/20
OK,,Norman,03/25/20
OK,,Oklahoma City,03/28/20
OK,,Sallisaw,04/04/20
OK,,Stillwater,03/30/20
OK,,Tulsa,03/28/20
CA,Alameda County,,03/17/20
CA,San Francisco County,,03/17/20
CA,Santa Clara County,,03/17/20
CA,San Mateo County,,03/17/20
CA,Marin County,,03/17/20
CA,Sonoma County,,03/17/20
CA,Solano County,,03/17/20
CA,Napa County,,03/17/20
CA,Contra Costa County,,03/17/20
